indent,taxonID,rank,A id,A name,B id,B name,relation,other id,other name,note,reason,changed_props,unchanged
————————————,8752,species,-2419978,A.Microcebus marohita,EOL-000000640910,B.Microcebus marohita,=,,,,canonicalName,source; taxonomicStatus; scientificName,shared tip
————————————,8753,species,-2419974,A.Microcebus mittermeieri,EOL-000000640911,B.Microcebus mittermeieri,=,,,,canonicalName,source; taxonomicStatus; scientificName,shared tip
————————————,8754,species,,,EOL-000000640912,B.Microcebus boraha,,,,,,,
————————————,8755,species,-2419972,A.Microcebus sambiranensis,EOL-000000640913,B.Microcebus sambiranensis,=,,,,canonicalName,source; taxonomicStatus; scientificName,shared tip
————————————,8756,species,-2419962,A.Microcebus rufus,EOL-000000640914,B.Microcebus rufus,=,,,,scientificName,source; taxonomicStatus,shared tip
————————————,8757,species,-2419981,A.Microcebus danfossi,EOL-000000640915,B.Microcebus danfossi,=,,,,scientificName,source; taxonomicStatus,shared tip
————————————,8758,species,-2419977,A.Microcebus macarthurii,EOL-000000640916,B.Microcebus macarthurii,=,,,,scientificName,source; taxonomicStatus,shared tip
————————————,8759,species,-2419969,A.Microcebus griseorufus,EOL-000000640917,B.Microcebus griseorufus,=,,,,scientificName,source; taxonomicStatus,shared tip
————————————,8760,species,-2419968,A.Microcebus arnholdi,EOL-000000640918,B.Microcebus arnholdi,=,,,,scientificName,source; taxonomicStatus,shared tip
————————————,8761,species,-2419960,A.Microcebus jollyae,EOL-000000640919,B.Microcebus jollyae,=,,,,canonicalName,source; taxonomicStatus; scientificName,shared tip
————————————,8762,species,-2419961,A.Microcebus ravelobensis,EOL-000000640920,B.Microcebus ravelobensis,=,,,,scientificName,source; taxonomicStatus,shared tip
————————————,8763,species,-2419971,A.Microcebus tavaratra,EOL-000000640921,B.Microcebus tavaratra,=,,,,canonicalName,source; taxonomicStatus; scientificName,shared tip
————————————,8764,species,-2419980,A.Microcebus bongolavensis,EOL-000000640922,B.Microcebus bongolavensis,=,,,,scientificName,source; taxonomicStatus,shared tip
————————————,8765,species,-2419965,A.Microcebus gerpi,EOL-000000640923,B.Microcebus gerpi,=,,,,scientificName,source; taxonomicStatus,shared tip
———————————,8766,genus,-2382375,A.Mirza,EOL-000000640924,B.Mirza,=,,,moved,canonicalName,source; taxonomicStatus; scientificName,
————————————,8767,species,-2419943,A.Mirza coquereli,EOL-000000640925,B.Mirza coquereli,=,,,,scientificName,source; taxonomicStatus,shared tip
————————————,8768,species,-2419944,A.Mirza zaza,EOL-000000640926,B.Mirza zaza,=,,,,canonicalName,source; taxonomicStatus; scientificName,shared tip
——————————,8769,family,,,EOL-000000640927,B.Daubentoniidae,~,-2419918,A.Daubentonia madagascariensis,,monotypic-inversion,,
———————————,8770,genus,,,EOL-000000640928,B.Daubentonia,~,-2419918,A.Daubentonia madagascariensis,,monotypic-inversion,,
————————————,8771,species,-2419918,A.Daubentonia madagascariensis,EOL-000000640929,B.Daubentonia madagascariensis,=,,,moved,scientificName,source; taxonomicStatus,shared tip
——————————,8772,family,,,EOL-000000640930,B.Lepilemuridae,~,-2382364,A.Lepilemur,,monotypic-inversion,,
———————————,8773,genus,-2382364,A.Lepilemur,EOL-000000640931,B.Lepilemur,=,,,moved,canonicalName,source; taxonomicStatus; number_of_children; scientificName,
————————————,8774,species,-2419892,A.Lepilemur seali,EOL-000000640932,B.Lepilemur seali,=,,,,scientificName,source; taxonomicStatus,shared tip
————————————,8775,species,-2419906,A.Lepilemur otto,EOL-000000640933,B.Lepilemur otto,=,,,,canonicalName,source; taxonomicStatus; scientificName,shared tip
————————————,8776,species,-2419909,A.Lepilemur hubbardi,EOL-000000640934,B.Lepilemur hubbardi,=,,,,scientificName,source; taxonomicStatus,shared tip
